;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;NOVEDAD;;;;;;NO DISPONIBLE;;;;;;;;;;;;
;PROMOCION;;;;;;LIMITADO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Código;DESCRIPCION; Precio Unitario Sin IVA ; Precio sugerido al público ;PEDIDO;;Código;DESCRIPCION; Precio Unitario Sin IVA ; Precio sugerido al público ;PEDIDO;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
28 - ROL;;;;;;30  -  Yu-Gi-Oh!;;;;;;;;;;;;;
2081;4 BOLSILLOS BINDER - HOLOFOIL NEGRO; $764,03 ; $1.387 ;;;2070;PROTECTOR Ultra Pro MATE ECLIPSE STD X 100 CELESTE; $509,36 ; $924 ;PROMO;;;;;;;;;
2082;4 BOLSILLOS BINDER - MATTE ROJO; $764,03 ; $1.387 ;;;2071;PROTECTOR Ultra Pro MATE ECLIPSE STD X 100 ROJO; $509,36 ; $924 ;PROMO;;;;;;;;;
DECK BOX - ESPECIALES;;;;;;2072;PROTECTOR Ultra Pro MATE ECLIPSE STD X 100 VERDE; $509,36 ; $924 ;PROMO;;;;;;;;;
2040;MONSTER PROTECTORS - DECK BOX DOBLE MATE NEGRO; $493,61 ; $896 ;;;2073;PROTECTOR Ultra Pro MATE ECLIPSE STD X 100 VERDE LIMA; $509,36 ; $924 ;PROMO;;;;;;;;;
2041;MONSTER PROTECTORS - DECK BOX DOBLE MATE AZUL; $493,61 ; $896 ;;;2074;PROTECTOR Ultra Pro MATE ECLIPSE STD X 100 NARANJA; $509,36 ; $924 ;PROMO;;;;;;;;;
2042;MONSTER PROTECTORS - DECK BOX DOBLE MATE ROJO; $493,61 ; $896 ;;;2075;PROTECTOR Ultra Pro MATE ECLIPSE STD X 100 AMARILLO; $509,36 ; $924 ;PROMO;;;;;;;;;
2043;MONSTER PROTECTORS - DECK BOX DOBLE MATE BLANCO; $493,61 ; $896 ;;;2076;PROTECTOR Ultra Pro MATE ECLIPSE STD X 100 ROSA; $509,36 ; $924 ;PROMO;;;;;;;;;
2108;MONSTER PROTECTORS - DECK BOX DOBLE MATE VERDE; $493,61 ; $896 ;;;2077;PROTECTOR Ultra Pro MATE ECLIPSE STD X 100 PURPURA; $509,36 ; $924 ;PROMO;;;;;;;;;
1502;Ultra Pro Satin Tower Deck Box - Blanco; $509,36 ; $924 ;Agotado;;2078;PROTECTOR Ultra Pro MATE ECLIPSE STD X 100 GRIS; $509,36 ; $924 ;PROMO;;;;;;;;;
1501;Ultra Pro Satin Tower Deck Box - Negro; $509,36 ; $924 ;Agotado;;PROTECTORES ULTRA PRO DE CARTAS TAMAÑO STANDARD MAGIC/POKEMON;;;;;;;;;;;;;
